Driver,Constructor,RaceName,DriverPointsSoFar,ConstructorPointsSoFar
VER,Red Bull Racing,Bahrain Grand Prix,0.0,0.0
VER,Red Bull Racing,Saudi Arabian Grand Prix,26.0,44.0
VER,Red Bull Racing,Abu Dhabi Grand Prix,272.0,371.0
VER,Red Bull Racing,Australian Grand Prix,51.0,87.0
VER,Red Bull Racing,Las Vegas Grand Prix,262.0,360.0
VER,Red Bull Racing,Japanese Grand Prix,51.0,97.0
VER,Red Bull Racing,Mexico City Grand Prix,254.0,352.0
VER,Red Bull Racing,Singapore Grand Prix,236.0,333.0
VER,Red Bull Racing,Canadian Grand Prix,110.0,178.0
VER,Red Bull Racing,Monaco Grand Prix,102.0,170.0
VER,Red Bull Racing,Spanish Grand Prix,135.0,203.0
VER,Red Bull Racing,Azerbaijan Grand Prix,226.0,323.0
VER,Red Bull Racing,Emilia Romagna Grand Prix,77.0,141.0
VER,Red Bull Racing,British Grand Prix,160.0,232.0
VER,Red Bull Racing,Dutch Grand Prix,200.0,285.0
VER,Red Bull Racing,Italian Grand Prix,218.0,311.0
VER,Red Bull Racing,Hungarian Grand Prix,178.0,250.0
VER,Red Bull Racing,Belgian Grand Prix,188.0,266.0
SAR,Williams,Japanese Grand Prix,0.0,0.0
SAR,Williams,Emilia Romagna Grand Prix,0.0,0.0
SAR,Williams,Azerbaijan Grand Prix,0.0,6.0
SAR,Williams,Canadian Grand Prix,0.0,2.0
SAR,Williams,Dutch Grand Prix,0.0,4.0
SAR,Williams,Monaco Grand Prix,0.0,0.0
SAR,Williams,Las Vegas Grand Prix,0.0,16.0
SAR,Williams,Bahrain Grand Prix,0.0,0.0
SAR,Williams,Hungarian Grand Prix,0.0,4.0
SAR,Williams,Singapore Grand Prix,0.0,16.0
SAR,Williams,Italian Grand Prix,0.0,4.0
SAR,Williams,Mexico City Grand Prix,0.0,16.0
SAR,Williams,Australian Grand Prix,0.0,0.0
SAR,Williams,Saudi Arabian Grand Prix,0.0,0.0
SAR,Williams,Belgian Grand Prix,0.0,4.0
SAR,Williams,Spanish Grand Prix,0.0,2.0
SAR,Williams,Abu Dhabi Grand Prix,0.0,16.0
SAR,Williams,British Grand Prix,0.0,2.0
RIC,RB,Canadian Grand Prix,0.0,12.0
RIC,RB,Hungarian Grand Prix,4.0,17.0
RIC,RB,Emilia Romagna Grand Prix,0.0,7.0
RIC,RB,Azerbaijan Grand Prix,5.0,20.0
RIC,RB,Italian Grand Prix,5.0,20.0
RIC,RB,Singapore Grand Prix,5.0,20.0
RIC,RB,Japanese Grand Prix,0.0,6.0
RIC,RB,Monaco Grand Prix,0.0,8.0
RIC,RB,Las Vegas Grand Prix,5.0,20.0
RIC,RB,Mexico City Grand Prix,5.0,20.0
RIC,RB,Saudi Arabian Grand Prix,0.0,0.0
RIC,RB,Abu Dhabi Grand Prix,5.0,22.0
RIC,RB,Bahrain Grand Prix,0.0,0.0
RIC,RB,Spanish Grand Prix,4.0,16.0
RIC,RB,Dutch Grand Prix,5.0,20.0
RIC,RB,British Grand Prix,4.0,16.0
RIC,RB,Belgian Grand Prix,4.0,19.0
RIC,RB,Australian Grand Prix,0.0,0.0
NOR,McLaren,Saudi Arabian Grand Prix,8.0,12.0
NOR,McLaren,Japanese Grand Prix,27.0,55.0
NOR,McLaren,Mexico City Grand Prix,227.0,430.0
NOR,McLaren,Singapore Grand Prix,202.0,390.0
NOR,McLaren,Emilia Romagna Grand Prix,37.0,69.0
NOR,McLaren,Canadian Grand Prix,67.0,129.0
NOR,McLaren,Azerbaijan Grand Prix,189.0,352.0
NOR,McLaren,Monaco Grand Prix,55.0,99.0
NOR,McLaren,Abu Dhabi Grand Prix,254.0,467.0
NOR,McLaren,Australian Grand Prix,12.0,28.0
NOR,McLaren,Spanish Grand Prix,85.0,157.0
NOR,McLaren,British Grand Prix,104.0,182.0
NOR,McLaren,Hungarian Grand Prix,119.0,209.0
NOR,McLaren,Bahrain Grand Prix,0.0,0.0
NOR,McLaren,Belgian Grand Prix,137.0,252.0
NOR,McLaren,Dutch Grand Prix,147.0,280.0
NOR,McLaren,Italian Grand Prix,173.0,318.0
NOR,McLaren,Las Vegas Grand Prix,245.0,452.0
GAS,Alpine,Japanese Grand Prix,0.0,0.0
GAS,Alpine,Singapore Grand Prix,7.0,11.0
GAS,Alpine,Abu Dhabi Grand Prix,8.0,12.0
GAS,Alpine,Hungarian Grand Prix,5.0,7.0
GAS,Alpine,Bahrain Grand Prix,0.0,0.0
GAS,Alpine,British Grand Prix,5.0,7.0
GAS,Alpine,Belgian Grand Prix,5.0,7.0
GAS,Alpine,Spanish Grand Prix,3.0,4.0
GAS,Alpine,Las Vegas Grand Prix,8.0,12.0
GAS,Alpine,Saudi Arabian Grand Prix,0.0,0.0
GAS,Alpine,Canadian Grand Prix,1.0,1.0
GAS,Alpine,Emilia Romagna Grand Prix,0.0,0.0
GAS,Alpine,Dutch Grand Prix,5.0,9.0
GAS,Alpine,Italian Grand Prix,7.0,11.0
GAS,Alpine,Monaco Grand Prix,0.0,0.0
GAS,Alpine,Azerbaijan Grand Prix,7.0,11.0
GAS,Alpine,Australian Grand Prix,0.0,0.0
GAS,Alpine,Mexico City Grand Prix,7.0,11.0
PER,Red Bull Racing,Singapore Grand Prix,97.0,333.0
PER,Red Bull Racing,Azerbaijan Grand Prix,97.0,323.0
PER,Red Bull Racing,Italian Grand Prix,93.0,311.0
PER,Red Bull Racing,Spanish Grand Prix,68.0,203.0
PER,Red Bull Racing,Dutch Grand Prix,85.0,285.0
PER,Red Bull Racing,Hungarian Grand Prix,72.0,250.0
PER,Red Bull Racing,Belgian Grand Prix,78.0,266.0
PER,Red Bull Racing,British Grand Prix,72.0,232.0
PER,Red Bull Racing,Canadian Grand Prix,68.0,178.0
PER,Red Bull Racing,Australian Grand Prix,36.0,87.0
PER,Red Bull Racing,Japanese Grand Prix,46.0,97.0
PER,Red Bull Racing,Saudi Arabian Grand Prix,18.0,44.0
PER,Red Bull Racing,Emilia Romagna Grand Prix,64.0,141.0
PER,Red Bull Racing,Monaco Grand Prix,68.0,170.0
PER,Red Bull Racing,Mexico City Grand Prix,98.0,352.0
PER,Red Bull Racing,Bahrain Grand Prix,0.0,0.0
PER,Red Bull Racing,Las Vegas Grand Prix,98.0,360.0
PER,Red Bull Racing,Abu Dhabi Grand Prix,99.0,371.0
ALO,Aston Martin,Azerbaijan Grand Prix,41.0,65.0
ALO,Aston Martin,Japanese Grand Prix,16.0,25.0
ALO,Aston Martin,Mexico City Grand Prix,53.0,77.0
ALO,Aston Martin,Canadian Grand Prix,24.0,35.0
ALO,Aston Martin,Saudi Arabian Grand Prix,2.0,3.0
ALO,Aston Martin,Australian Grand Prix,12.0,13.0
ALO,Aston Martin,Las Vegas Grand Prix,53.0,77.0
ALO,Aston Martin,British Grand Prix,32.0,49.0
ALO,Aston Martin,Italian Grand Prix,41.0,65.0
ALO,Aston Martin,Belgian Grand Prix,36.0,60.0
ALO,Aston Martin,Spanish Grand Prix,32.0,49.0
ALO,Aston Martin,Dutch Grand Prix,40.0,64.0
ALO,Aston Martin,Bahrain Grand Prix,0.0,0.0
ALO,Aston Martin,Hungarian Grand Prix,36.0,59.0
ALO,Aston Martin,Abu Dhabi Grand Prix,53.0,77.0
ALO,Aston Martin,Monaco Grand Prix,24.0,35.0
ALO,Aston Martin,Singapore Grand Prix,49.0,73.0
ALO,Aston Martin,Emilia Romagna Grand Prix,24.0,33.0
LEC,Ferrari,Mexico City Grand Prix,204.0,353.0
LEC,Ferrari,Las Vegas Grand Prix,220.0,394.0
LEC,Ferrari,Belgian Grand Prix,121.0,234.0
LEC,Ferrari,Hungarian Grand Prix,109.0,214.0
LEC,Ferrari,Canadian Grand Prix,99.0,185.0
LEC,Ferrari,Emilia Romagna Grand Prix,59.0,120.0
LEC,Ferrari,Singapore Grand Prix,194.0,337.0
LEC,Ferrari,Azerbaijan Grand Prix,176.0,319.0
LEC,Ferrari,Monaco Grand Prix,74.0,145.0
LEC,Ferrari,Australian Grand Prix,28.0,49.0
LEC,Ferrari,Japanese Grand Prix,47.0,93.0
LEC,Ferrari,Abu Dhabi Grand Prix,232.0,421.0
LEC,Ferrari,Saudi Arabian Grand Prix,12.0,27.0
LEC,Ferrari,Dutch Grand Prix,136.0,257.0
LEC,Ferrari,Bahrain Grand Prix,0.0,0.0
LEC,Ferrari,British Grand Prix,109.0,203.0
LEC,Ferrari,Spanish Grand Prix,99.0,185.0
LEC,Ferrari,Italian Grand Prix,151.0,282.0
STR,Aston Martin,Saudi Arabian Grand Prix,1.0,3.0
STR,Aston Martin,Japanese Grand Prix,9.0,25.0
STR,Aston Martin,Bahrain Grand Prix,0.0,0.0
STR,Aston Martin,Hungarian Grand Prix,23.0,59.0
STR,Aston Martin,Dutch Grand Prix,24.0,64.0
STR,Aston Martin,Spanish Grand Prix,17.0,49.0
STR,Aston Martin,Belgian Grand Prix,24.0,60.0
STR,Aston Martin,Mexico City Grand Prix,24.0,77.0
STR,Aston Martin,Azerbaijan Grand Prix,24.0,65.0
STR,Aston Martin,Emilia Romagna Grand Prix,9.0,33.0
STR,Aston Martin,Las Vegas Grand Prix,24.0,77.0
STR,Aston Martin,Australian Grand Prix,1.0,13.0
STR,Aston Martin,Canadian Grand Prix,11.0,35.0
STR,Aston Martin,Italian Grand Prix,24.0,65.0
STR,Aston Martin,Singapore Grand Prix,24.0,73.0
STR,Aston Martin,Monaco Grand Prix,11.0,35.0
STR,Aston Martin,Abu Dhabi Grand Prix,24.0,77.0
STR,Aston Martin,British Grand Prix,17.0,49.0
MAG,Haas F1 Team,Azerbaijan Grand Prix,2.0,13.0
MAG,Haas F1 Team,Japanese Grand Prix,1.0,4.0
MAG,Haas F1 Team,Las Vegas Grand Prix,8.0,24.0
MAG,Haas F1 Team,Saudi Arabian Grand Prix,0.0,0.0
MAG,Haas F1 Team,Australian Grand Prix,0.0,1.0
MAG,Haas F1 Team,Canadian Grand Prix,1.0,4.0
MAG,Haas F1 Team,Mexico City Grand Prix,2.0,16.0
MAG,Haas F1 Team,Bahrain Grand Prix,0.0,0.0
MAG,Haas F1 Team,Hungarian Grand Prix,1.0,12.0
MAG,Haas F1 Team,Abu Dhabi Grand Prix,8.0,28.0
MAG,Haas F1 Team,Singapore Grand Prix,2.0,14.0
MAG,Haas F1 Team,Emilia Romagna Grand Prix,1.0,4.0
MAG,Haas F1 Team,Monaco Grand Prix,1.0,4.0
MAG,Haas F1 Team,Italian Grand Prix,1.0,12.0
MAG,Haas F1 Team,Belgian Grand Prix,1.0,12.0
