Driver,Constructor,RaceName,DriverPointsSoFar,ConstructorPointsSoFar,DriverWinRateThisSeason,DriverPodiumRate,AverageQualifyingPosition,DriverExperienceYears,DNFCountThisSeason,TeammateComparison
NOR,McLaren,Singapore Grand Prix,284.0,587.0,0.29411764705882354,0.7647058823529411,3.3529411764705883,6,2,-19.0
VER,Red Bull Racing,Singapore Grand Prix,241.0,255.0,0.23529411764705882,0.47058823529411764,3.176470588235294,10,1,227.0
RUS,Mercedes,Singapore Grand Prix,202.0,276.0,0.058823529411764705,0.4117647058823529,4.588235294117647,6,1,128.0
ANT,Mercedes,Singapore Grand Prix,74.0,276.0,0.0,0.058823529411764705,8.882352941176471,0,6,-128.0
ALB,Williams,Singapore Grand Prix,70.0,98.0,0.0,0.0,11.470588235294118,10,5,42.0
STR,Aston Martin,Singapore Grand Prix,28.0,58.0,0.0,0.0,16.0625,8,7,-2.0
HUL,Kick Sauber,Singapore Grand Prix,37.0,55.0,0.0,0.058823529411764705,16.0,15,8,19.0
LEC,Ferrari,Singapore Grand Prix,156.0,263.0,0.0,0.29411764705882354,5.411764705882353,7,2,49.0
PIA,McLaren,Singapore Grand Prix,303.0,587.0,0.4117647058823529,0.8235294117647058,2.5294117647058822,2,1,19.0
HAM,Ferrari,Singapore Grand Prix,107.0,263.0,0.0,0.0,8.0,18,3,-49.0
GAS,Alpine,Singapore Grand Prix,19.0,19.0,0.0,0.0,13.235294117647058,8,8,19.0
TSU,Red Bull Racing,Singapore Grand Prix,14.0,255.0,0.0,0.0,11.823529411764707,4,7,-227.0
OCO,Haas F1 Team,Singapore Grand Prix,24.0,38.0,0.0,0.0,15.411764705882353,9,6,10.0
BEA,Haas F1 Team,Singapore Grand Prix,14.0,38.0,0.0,0.0,15.176470588235293,0,5,-10.0
LAW,Racing Bulls,Singapore Grand Prix,30.0,68.0,0.0,0.0,13.176470588235293,3,5,-8.0
BOR,Kick Sauber,Singapore Grand Prix,18.0,55.0,0.0,0.0,13.882352941176471,0,8,-19.0
ALO,Aston Martin,Singapore Grand Prix,30.0,58.0,0.0,0.0,10.764705882352942,24,6,2.0
SAI,Williams,Singapore Grand Prix,28.0,98.0,0.0,0.058823529411764705,11.235294117647058,0,6,-42.0
DOO,Alpine,Singapore Grand Prix,0.0,19.0,0.0,0.0,15.5,0,3,-19.0
HAD,Racing Bulls,Singapore Grand Prix,38.0,68.0,0.0,0.058823529411764705,9.823529411764707,0,7,8.0
COL,Alpine,Singapore Grand Prix,0.0,19.0,0.0,0.0,16.454545454545453,0,7,-19.0
